Id;Country;Type;Materic;Capital;Area;Population;Population_density
111;Лаос;Государство;Евразия;Вьентьян;236800;6500000;25
112;Латвия;Государство;Евразия;Рига;64589;1958800;31
113;Лесото;Государство;Африка;Масеру;30355;2031000;67
114;Либерия;Государство;Африка;Монровия;111369;4294000;38
115;Ливан;Государство;Евразия;Бейрут;10452;4468007;404
116;Ливия;Государство;Африка;Триполи;1759541;5613380;3
117;Литва;Государство;Евразия;Вильнюс;65301;2826534;49
118;Лихтенштейн;Государство;Евразия;Вадуц;160;36838;230
119;Луганская Народная Республика (ЛНР);Непризнанное государство;Евразия;Луганск;;1475841;
120;Люксембург;Государство;Евразия;Люксембург;2586;576249;171
121;Маврикий;Государство;Африка;Порт-Луи;2040;1295789;635
122;Мавритания;Государство;Африка;Нуакшот;1030700;3359185;3
123;Мадагаскар;Государство;Африка;Антананариву;587041;24235390;41
124;Мадейра;Территория Португалии;Африка;Фуншал;785;267785;341
125;Майотта;Территория Франции;Африка;Мамудзу;376;246496;566
126;Македония;Государство;Евразия;Скопье;25333;2073702;81
127;Малави;Государство;Африка;Лилонгве;118494;16777547;118
128;Малайзия;Государство;Евразия;Куала-Лумпур;329758;30987000;86
129;Мали;Государство;Африка;Бамако;1240192;15968882;12
130;Мальдивы;Государство;Евразия;Мале;298;402071;1136
131;Мальта;Государство;Евразия;Валлетта;316;429344;1432
132;Марокко;Государство;Африка;Рабат;446550;33848242;70
133;Мартиника;Территория Франции;Северная Америка;Фор-де-Франс;1128;392291;348
134;Маршалловы Острова;Государство;Микронезия;Маджуро;181;53158;294
135;Мексика;Государство;Северная Америка;Мехико;1972550;121005815;62
136;Мелилья;Территория Испании (автономный город);Африка;Мелилья;13;86026;6382
137;Мозамбик;Государство;Африка;Мапуту;801590;25727911;25
138;Молдавия;Государство;Евразия;Кишинёв;33846;3550900;120
139;Монако;Государство;Евразия;Монако;2;37863;18679
140;Монголия;Государство;Евразия;Улан-Батор;1564116;3119935;2
141;Монтсеррат (Великобритания);Территория Великобритании;Северная Америка;Плимут (де юре), Брейдс (де факто);102;4922;48
142;Мьянма;Государство;Евразия;Нейпьидо;678500;55167330;74
143;Мэн (остров);Территория Великобритании;Евразия (остров);Дуглас;572;84497;148
144;Нагорно-Карабахская Республика;Непризнанное государство;Евразия;Степанакерт;11500;150932;13
145;Намибия;Государство;Африка;Виндхук;825418;2358163;2
146;Науру;Государство;Микронезия;-;21;10084;473
147;Непал;Государство;Евразия;Катманду;140800;30430267;216
148;Нигерия;Государство;Африка;Абуджа;923768;186053386;197
149;Нигер;Государство;Африка;Ниамей;1267000;23470530;11
150;Нидерланды;Государство;Евразия;Амстердам;41543;17084719;405
